t2,phi,band_width,band_gap,width_gap_ratio,chern_number,quantum_weight,trace_condition,valid_gapped,chern_near_target
-0.6,0.0,2.8163281994127614,0.3511410091698927,8.020504942076236,0.0,1.7705501883034669,1.7705501883034669,1,0
-0.6,0.02617993877991494,2.816383847602263,0.3864591877618561,7.287661768149695,0.712780628065794,1.7354313623567659,1.0226507342909719,1,0
-0.6,0.05235987755982988,2.8165240973619263,0.47689766943664164,5.905929673946784,0.9548622745917403,1.6030282855695344,0.648166010977794,1,1
-0.6,0.07853981633974483,2.8209890688534323,0.5977692234640922,4.719194227674868,0.9957810460890694,1.454585435236252,0.4588043891471826,1,1
-0.6,0.10471975511965977,2.8325619770088966,0.7339513868894166,3.8593318680323914,1.0000382639515522,1.3411308384479343,0.3410925744963822,1,1
-0.6,0.1308996938995747,2.8462790037708547,0.8780683815538234,3.2415231701363627,1.0001237017354556,1.2600284242326105,0.2599047224971549,1,1
-0.6,0.15707963267948966,2.8614632739245223,1.0264743572905932,2.7876617215041124,1.0000320433183383,1.201357635181254,0.20132559186291576,1,1
-0.6,0.18325957145940458,2.8886167261510223,1.1772198167951544,2.4537615532288175,1.0000048372631554,1.1582311892097414,0.15822635194658607,1,1
-0.6,0.20943951023931953,2.9284895736213703,1.3291667415104895,2.203252219727813,1.0000003294874724,1.1263874716093871,0.1263871421219147,1,1
-0.6,0.23561944901923448,2.9736102775626767,1.4815933806132404,2.0070353421340754,0.9999999695801144,1.1030762122768223,0.1030762426967079,1,1
-0.6,0.2617993877991494,3.0151377751211967,1.634006225046085,1.8452425265614634,0.9999999944551538,1.0864125204157897,0.08641252596063598,1,1
-0.6,0.28797932657906433,3.0529154340116507,1.78604447583305,1.7093165793576917,1.0000000010279313,1.0750413060574282,0.07504130502949691,1,1
-0.6,0.3141592653589793,3.0868296602624112,1.9374285274490024,1.5932611792017002,1.000000000528872,1.0679532836984298,0.06795328316955773,1,1
-0.6,0.34033920413889424,3.1167952500570815,2.0,1.5583976250285407,1.0000000034027834,1.0643758168746638,0.06437581347188037,1,1
-0.6,0.36651914291880916,3.142746681031821,2.0,1.5713733405159105,1.0000000142400949,1.0637039613128247,0.06370394707272986,1,1
-0.6,0.39269908169872414,3.1646327288359,2.0,1.58231636441795,1.0000000402001792,1.0654549216032063,0.06545488140302713,1,1
-0.6,0.41887902047863906,3.182413024489084,2.0,1.591206512244542,1.0000000880758682,1.0692369576324208,0.06923686955655262,1,1
-0.6,0.445058959258554,3.196055786467387,2.0,1.5980278932336935,1.0000001612591605,1.0747275735171349,0.07472741225797441,1,1
-0.6,0.47123889803846897,3.205536286879614,2.0,1.602768143439807,1.000000259799115,1.0816578561202734,0.08165759632115832,1,1
-0.6,0.4974188368183839,3.21083578942925,2.0,1.605417894714625,1.0000003825710297,1.089800996326933,0.08980061375590331,1,1
-0.6,0.5235987755982988,3.211940798171932,2.0,1.605970399085966,1.0000005304064334,1.0989637232390812,0.09896319283264776,1,1
-0.6,0.5497787143782138,3.2088425155268636,2.0,1.6044212577634318,1.000000709673537,1.108979810414524,0.10897910074098704,1,1
-0.6,0.5759586531581287,3.20153644390783,2.0,1.600768221953915,1.0000009361184898,1.119705083958322,0.11970414783983219,1,1
-0.6,0.6021385919380436,3.1900220876012475,2.0,1.5950110438006238,1.0000012387578416,1.1310135372103067,0.1310122984524651,1,1
-0.6,0.6283185307179586,3.1743027256506777,2.0,1.5871513628253389,1.0000016634742637,1.1427942725136826,0.14279260903941893,1,1
-0.6,0.6544984694978735,3.1543852356728523,2.0,1.5771926178364262,1.000002275872207,1.1549490688836879,0.15494679301148095,1,1
-0.6,0.6806784082777885,3.1302799545925524,2.0,1.5651399772962762,1.0000031629574577,1.167390428556253,0.16738726559879535,1,1
-0.6,0.7068583470577035,3.10200056636588,2.0,1.55100028318294,1.0000044333070142,1.1800399935836425,0.18003556027662837,1,1
-0.6,0.7330382858376183,3.0695640095560113,2.0,1.5347820047780056,1.0000062155564586,1.1928272510406706,0.19282103548421192,1,1
-0.6,0.7592182246175333,3.0329903995679515,2.0,1.5164951997839757,1.000008655210083,1.2056884653566673,0.2056798101465842,1,1
-0.6,0.7853981633974483,2.9923029617180794,2.0,1.4961514808590397,1.0000119099416245,1.2185657909995422,0.21855388105791773,1,1
-0.6,0.8115781021773631,2.9475279722921512,2.0,1.4737639861460756,1.0000161436801176,1.231406529693256,0.23139038601313833,1,1
-0.6,0.8377580409572781,2.8986947054525105,2.0,1.4493473527262553,1.0000215198571298,1.24416250456946,0.24414098471233014,1,1
-0.6,0.8639379797371931,2.845835384372176,2.0,1.422917692186088,1.0000281942284743,1.2567895298550955,0.2567613356266212,1,1
-0.6,0.890117918517108,2.7889851353556803,2.0,1.3944925676778401,1.0000363076810943,1.269246959394098,0.26921065171300373,1,1
-0.6,0.916297857297023,2.7281819439917774,2.0,1.3640909719958887,1.000045979402803,1.2814973008678694,0.28145132146506646,1,1
-0.6,0.9424777960769379,2.663466612598206,2.0,1.331733306299103,1.0000573007384175,1.293505885293326,0.29344858455490863,1,1
-0.6,0.9686577348568528,2.594882718382282,2.0,1.297441359191141,1.0000703299894267,1.3052405834469196,0.30517025345749293,1,1
-0.6,0.9948376736367678,2.5224765718665445,2.0,1.2612382859332723,1.0000850883432175,1.3166715624450287,0.3165864741018112,1,1
-0.6,1.0210176124166828,2.446297175225802,2.0,1.223148587612901,1.0001015570479124,1.3277710769245297,0.3276695198766173,1,1
-0.6,1.0471975511965976,2.3663961802575755,2.0,1.1831980901287877,1.0001196758841926,1.338513290202702,0.33839361431850934,1,1
-0.6,1.0733774899765125,2.2828278457674553,2.0,1.1414139228837277,1.0001393429287375,1.348874121521727,0.3487347785929895,1,1
-0.6,1.0995574287564276,2.1956489941979656,2.0,1.0978244970989828,1.000160415556479,1.358831116051966,0.358670700495487,1,1
-0.6,1.1257373675363425,2.1049189673670687,2.0,1.0524594836835344,1.0001827125911353,1.36836333477948,0.3681806221883446,1,1
-0.6,1.1519173063162573,2.0583636944488095,2.0,1.0291818472244048,1.0002060174851743,1.3774512617664338,0.3772452442812595,1,1
