delta,t_hh1,t_th2,t_hh3,t_tt1,nk,bandwidth_low,gap_low_mid,flatness_ratio,chern_low,quantum_weight_low,trace_violation,trace_violation_abs,chern_error,chern_mag_error,is_gapped
5.417475728155339,0.35145631067961164,0.013592233009708738,0.08349514563106795,-0.08932038834951456,21,0.09032805414327116,1.3477900545435415,0.06701938023564266,-1.000000000000006,1.0123624305737695,2.0123624305737753,2.0123624305737753,5.995204332975845e-15,5.995204332975845e-15,True
5.0859548066276306,0.44973133281118005,-0.056453859949051645,0.058487000572750455,-0.07280247921389826,21,0.048452049937024455,1.5622377232912652,0.031014517966540617,-1.0000000000000004,1.0010894564445858,2.0010894564445865,2.0010894564445865,4.440892098500626e-16,4.440892098500626e-16,True
4.884032980814637,0.43214514810525007,-0.01651888821169234,0.07173534722915753,-0.16459823112481708,21,0.050677846944884974,1.5623193329481069,0.032437572701129895,-0.9999999999999992,1.004171014071228,2.004171014071227,2.004171014071227,7.771561172376096e-16,7.771561172376096e-16,True
5.768637063473648,0.3835889675150513,-0.022393515743825802,0.06616370961540613,-0.07522855274248769,21,0.04918451314931316,1.3623692484539724,0.0361021897735347,-0.9999999999999977,1.0050066649178129,2.0050066649178104,2.0050066649178104,2.3314683517128287e-15,2.3314683517128287e-15,True
5.436635619290193,0.3800408111938413,-0.01682123507739846,0.07534038329226052,-0.10474701606894164,21,0.05575596040361375,1.4218995438619175,0.03921230627318373,-1.0000000000000004,1.0056071559483772,2.0056071559483777,2.0056071559483777,4.440892098500626e-16,4.440892098500626e-16,True
5.219581253251631,0.40259905597955814,-0.006138633039565791,0.0709078710600623,-0.11739400410605771,21,0.06002721780890541,1.4436355962397704,0.04158058859538928,-0.9999999999999909,1.0065080586490078,2.0065080586489987,2.0065080586489987,9.103828801926284e-15,9.103828801926284e-15,True
5.365797912460304,0.40291068226670856,-0.010440067552464261,0.07520429941967366,-0.11175064044784008,21,0.06302511718956638,1.423699003989732,0.044268568716383634,-0.9999999999999908,1.0073239864225974,2.007323986422588,2.007323986422588,9.2148511043888e-15,9.2148511043888e-15,True
5.293285197065517,0.3964169800600942,-0.017108048236434407,0.06376636142229693,-0.053751932798096196,21,0.07652874532472498,1.4208400099925786,0.05386162044037928,-0.9999999999999993,1.0050913280603162,2.0050913280603155,2.0050913280603155,6.661338147750939e-16,6.661338147750939e-16,True
5.650337945184215,0.3581900302487396,-0.010487221716148095,0.07530536690986422,-0.08425523633426525,21,0.06290504399355723,1.3599336724914992,0.04625596473268474,-1.0000000000000033,1.0069938067996402,2.0069938067996436,2.0069938067996436,3.3306690738754696e-15,3.3306690738754696e-15,True
5.494750193252277,0.3667951601074415,-0.015981143486350942,0.07918351529666488,-0.08020442260454899,21,0.0670766506002558,1.3967913587820406,0.04802195415838239,-0.9999999999999976,1.0070837446828602,2.0070837446828578,2.0070837446828578,2.4424906541753444e-15,2.4424906541753444e-15,True
5.27639396098754,0.3761145300174535,-0.00442659672607818,0.07745499086345417,-0.12446156203763667,21,0.07474665772621614,1.4330455400315318,0.052159303831036286,-1.000000000000002,1.0066361320771806,2.0066361320771824,2.0066361320771824,1.9984014443252818e-15,1.9984014443252818e-15,True
5.35665278896105,0.3703849247635117,-0.008642907089211787,0.08349548363296484,-0.09045457955618448,21,0.06436826879759527,1.409732709816095,0.04565991010167619,-0.9999999999999971,1.0086195069210877,2.008619506921085,2.008619506921085,2.886579864025407e-15,2.886579864025407e-15,True
5.644421719544075,0.3596771196578047,-0.013568400986340068,0.07954213319157906,-0.070255692689738,21,0.06485309948012064,1.3607992955686017,0.04765809307170619,-0.9999999999999974,1.008163231612385,2.0081632316123823,2.0081632316123823,2.55351295663786e-15,2.55351295663786e-15,True
5.37977906222117,0.3798850970208506,-0.010535236218732667,0.08468726338183764,-0.10989430261555885,21,0.06670209468851285,1.4203924514310542,0.046960327493510735,-0.9999999999999967,1.0086818182002038,2.0086818182002,2.0086818182002,3.3306690738754696e-15,3.3306690738754696e-15,True
5.412002773294436,0.3982532784442517,0.008011585009878027,0.06986503194358082,-0.16566563757682828,21,0.06385710667245181,1.401990532805639,0.04554745925756152,-1.0000000000000377,1.0092022770598579,2.0092022770598956,2.0092022770598956,3.774758283725532e-14,3.774758283725532e-14,True
5.318479811445719,0.36554911596667927,-0.00019801856602174456,0.08420124170698957,-0.10781135774271643,21,0.06517044550452389,1.4064731822227134,0.046336074038420036,-1.0000000000000018,1.0093716708861802,2.009371670886182,2.009371670886182,1.7763568394002505e-15,1.7763568394002505e-15,True
5.43336109051215,0.3761070036150274,-4.8139230960501586e-05,0.0792297171493888,-0.10468623379072181,21,0.06641315301879147,1.3840375310874142,0.04798508098737164,-0.9999999999999991,1.0091533079749353,2.0091533079749344,2.0091533079749344,8.881784197001252e-16,8.881784197001252e-16,True
5.742239102215171,0.3729018662515192,-0.0011113010106837632,0.06456698338535014,-0.10749896555489108,21,0.07556903078611032,1.3353008251850542,0.05659326300171911,-1.0000000000000018,1.007267190607161,2.0072671906071626,2.0072671906071626,1.7763568394002505e-15,1.7763568394002505e-15,True
5.323490743547514,0.37609939848708895,-0.018307548416277804,0.08373920679794208,-0.09348625883022658,21,0.0827208538460229,1.4396196142065816,0.05746021589988748,-0.9999999999999912,1.0074284521499188,2.00742845214991,2.00742845214991,8.770761894538737e-15,8.770761894538737e-15,True
5.631796759954862,0.3666222814925864,-0.01027227068437256,0.08329399262659196,-0.10480307452566208,21,0.06996876663389484,1.3729936082367837,0.05096073733638836,-0.9999999999999923,1.0092388893204958,2.009238889320488,2.009238889320488,7.66053886991358e-15,7.66053886991358e-15,True
6.11132427389451,0.33614865734258986,-0.009388471504189344,0.06608848276415477,-0.10815949872991933,21,0.08814478747136834,1.294856207791602,0.0680730315389233,-1.0000000000000002,1.0052104420758925,2.0052104420758927,2.0052104420758927,2.220446049250313e-16,2.220446049250313e-16,True
5.097199103299971,0.44765968978672455,-0.042252202991752794,0.07722867527340818,-0.08057947900934868,21,0.10902041255805117,1.530865562153036,0.07121488343151633,-0.9999999999999999,1.004497384264662,2.004497384264662,2.004497384264662,1.1102230246251565e-16,1.1102230246251565e-16,True
5.386062306153357,0.38826479909682143,-0.012649502459710991,0.0838917089620671,-0.09845386074572558,21,0.07607665886078574,1.4179739496025072,0.05365166185324624,-1.000000000000004,1.0086987820596134,2.0086987820596174,2.0086987820596174,3.9968028886505635e-15,3.9968028886505635e-15,True
