delta,t_hh1,t_th2,t_hh3,t_tt1,nk,bandwidth_low,gap_low_mid,flatness_ratio,chern_low,quantum_weight_low,trace_violation,trace_violation_abs,chern_error,is_gapped
5.417475728155339,0.35145631067961164,0.013592233009708738,0.08349514563106795,-0.08932038834951456,21,0.09032805414327116,1.3477900545435415,0.06701938023564266,-1.000000000000006,1.0123624305737695,2.0123624305737753,2.0123624305737753,2.000000000000006,True
7.345727305182277,0.10679171661831714,0.0003247070494578827,0.2673494146225219,0.17082505303423465,21,0.4482698723908568,0.38912045883724106,1.15200797647691,2.000103331068361,2.329272185141317,0.32916885407295604,0.32916885407295604,1.000103331068361,True
7.271819934659561,0.19431890602877475,0.17762233250050882,0.3147995789720154,0.020864235806237925,21,0.7914049466447296,0.44948354242838734,1.7606983836806838,1.9999870079371238,2.4296227315317407,0.4296357235946169,0.4296357235946169,0.9999870079371238,True
3.7421322903885597,0.05,0.10588733718123199,0.3326318438371668,0.37379323812387033,21,0.4891918386544044,0.32961893018034405,1.4841133013408951,2.001559914640025,2.65144487317409,0.6498849585340651,0.6498849585340651,1.001559914640025,True
4.324335337596012,0.05,0.24564902684665196,0.30775692732875526,0.2768289652685444,21,0.668502831066949,0.2834373912954872,2.3585555455879357,1.9976950113401835,2.7840782823963286,0.7863832710561451,0.7863832710561451,0.9976950113401835,True
6.450049145926354,0.3126091126890576,-0.07468682445467686,0.35,0.10365899425688027,21,1.2504364507562302,0.340685178539917,3.6703576484168083,2.002902359856885,2.42572033826325,0.42281797840636504,0.42281797840636504,1.002902359856885,True
7.685161656126831,0.13833094936543033,0.07999347133251342,0.22320659798869869,0.13988814226077656,21,0.5533237974617214,0.10877222396222985,5.086995349601917,1.913442910730908,2.602581831567857,0.6891389208369489,0.6891389208369489,0.9134429107309081,True
7.980557472138149,0.3607710666089302,-0.2512272064183714,0.3195569438954295,0.30268168398734996,21,1.4430842664357209,0.2957197360783677,4.879905161464414,2.013839625163953,2.566278993782934,0.5524393686189808,0.5524393686189808,1.013839625163953,True
5.507045529183584,0.30330309246958426,-0.03498187099920798,0.35,0.18077456012366322,21,1.2132123698783368,0.23878779587762033,5.080713465356968,2.0153207991576916,2.6045585959442175,0.5892377967865259,0.5892377967865259,1.0153207991576916,True
5.9383154809690915,0.27208397303034015,0.0947950062229363,0.30757202890600366,0.4567633909823877,21,1.0975273634979406,0.2049952475647701,5.353916134817549,1.9649389586064092,2.661101291558063,0.6961623329516538,0.6961623329516538,0.9649389586064092,True
2.485639484138191,0.0793397740568543,-0.28730925983228006,-0.2827255444804763,0.21952207942289537,21,2.1440455804007406,0.5173504666137939,4.14428075117846,1.9998168064063957,3.213453077575792,1.2136362711693962,1.2136362711693962,0.9998168064063957,True
2.0625308542270613,0.1439085870229955,0.15515720057110172,-0.23139540717784346,0.47452914714878547,21,1.5498683124590351,0.5221835682011076,2.9680526290749487,0.0017648905636383088,1.7539141331236037,1.7521492425599654,1.7521492425599654,0.9982351094363617,True
6.831913932207559,0.2875012221930894,0.35,0.35,-0.002903732314122277,21,1.417492130555438,0.36166417735093176,3.9193600564426654,1.9997994437581685,3.401515259157781,1.4017158153996123,1.4017158153996123,0.9997994437581685,True
4.750839621697315,0.08761651499270501,0.2979683497978247,0.28659841199984915,0.3403530292092517,21,0.9488309380949143,0.20969580751175987,4.5247968920013015,1.9967557883684877,3.245636372035547,1.2488805836670593,1.2488805836670593,0.9967557883684877,True
7.787159659695128,0.18796148497670417,0.33065328570599384,0.2568155773285606,0.31370259776848236,21,1.0762207087520368,0.2503408054622606,4.299022313860371,1.9997100900081914,3.3784049070637594,1.378694817055568,1.378694817055568,0.9997100900081914,True
7.028431219970707,0.2720100265770717,0.12258360273192946,0.31975233026107697,-0.5,21,1.0880401063082865,0.15509090031987405,7.015499323714095,1.8490143489762925,2.6647908414598023,0.8157764924835098,0.8157764924835098,0.8490143489762925,True
5.630977607453227,0.05,-0.2096360397649208,-0.24119078870203073,0.5,21,1.3821579133812616,0.3477855095629718,3.9741676273921964,1.996547979477578,3.618643003404208,1.62209502392663,1.62209502392663,0.996547979477578,True
3.634011349195102,0.11245697374003598,-0.3429200381471561,-0.3426498192792088,0.021853088281250377,21,2.2184854062258172,0.4140629372724245,5.357845888935983,2.008977333421663,3.541574738626456,1.5325974052047933,1.5325974052047933,1.008977333421663,True
5.216890586258355,0.2893729877403677,0.032086282791146004,0.3178924362342166,0.4574720244062961,21,1.1575866108811133,0.12874037249845016,8.991636333000736,1.8330573719316334,2.716443717320498,0.8833863453888646,0.8833863453888646,0.8330573719316334,True
8.0,0.34308693947283575,0.10351765861206225,0.31093542111133077,-0.3502178105574841,21,1.372347757891343,0.14625165454004996,9.383468256870458,1.8309362171837236,2.768552722115088,0.9376165049313643,0.9376165049313643,0.8309362171837236,True
6.743266931318124,0.32811245739756795,0.007932595249782182,0.3084345227514206,0.16893236072122841,21,1.312449829590272,0.1339843961705396,9.795542369872267,1.8293165194953227,2.616510159448495,0.7871936399531725,0.7871936399531725,0.8293165194953227,True
4.231939189760805,0.0552480962945071,0.29257828286275933,0.2786591627678019,0.308787120317229,21,0.8719060619179675,0.11177978100765495,7.80021265078572,1.8361230300630669,3.4901822702719247,1.6540592402088579,1.6540592402088579,0.8361230300630669,True
5.268995814433735,0.20904951053380827,0.3139136801604975,0.310162675174265,0.2990028051808534,21,1.225430658809119,0.1921516632979089,6.37741374587651,2.0153270055099237,3.772483812140502,1.7571568066305785,1.7571568066305785,1.0153270055099237,True
2.5161355057471013,0.12750086588061654,-0.2954992143189389,-0.2503021877178472,0.204589463146982,21,2.350665097146514,0.3138381238000552,7.490055920179129,1.9868822948532048,3.529886734132238,1.5430044392790332,1.5430044392790332,0.9868822948532048,True
7.3744805942057265,0.12345844673450448,0.12265381926024821,0.21366431075607073,0.057966494120250456,21,0.5179884988323816,0.03204744662863479,16.163175332962485,1.0985329820612397,2.4598148908622677,1.361281908801028,1.361281908801028,0.09853298206123973,True
5.511966205543299,0.08306324394143626,-0.22909506219134929,-0.17115675760343377,0.47555373191269235,21,1.4107888033744063,0.18361918011888426,7.683232233479045,1.9691779436656978,3.881397520857256,1.9122195771915584,1.9122195771915584,0.9691779436656978,True
6.530995102990476,0.14560546881832095,-0.26059162012850234,0.2846286203088303,-0.0766381908257795,21,1.2093351588625878,0.21487199286961367,5.628165600886029,2.165742870572904,4.507715304485711,2.3419724339128067,2.3419724339128067,1.1657428705729038,True
