phase,component,repeat,seconds,milliseconds
forward_backward,full,15,0.0279933922,27.993392
forward_backward,full,16,0.0239273515,23.927351
forward_backward,full,17,0.0247686412,24.768641
forward_backward,full,18,0.0259056389,25.905639
forward_backward,full,19,0.0242301002,24.230100
forward_backward,full,20,0.0268255714,26.825571
forward_backward,full,21,0.0240511317,24.051132
forward_backward,full,22,0.0273884106,27.388411
forward_backward,full,23,0.0281811822,28.181182
forward_backward,full,24,0.0248401258,24.840126
forward_backward,full,25,0.0241114628,24.111463
forward_backward,full,26,0.0279524643,27.952464
forward_backward,full,27,0.0261150785,26.115078
forward_backward,full,28,0.0257271118,25.727112
forward_backward,full,29,0.0257242564,25.724256
forward_backward,full,30,0.0260909423,26.090942
forward_backward,full,31,0.0253926590,25.392659
forward_backward,full,32,0.0257922020,25.792202
forward_backward,full,33,0.0254754946,25.475495
forward_backward,full,34,0.0267390404,26.739040
forward_backward,full,35,0.0262786727,26.278673
forward_backward,full,36,0.0251814406,25.181441
forward_backward,full,37,0.0270801596,27.080160
forward_backward,full,38,0.0260339901,26.033990
forward_backward,full,39,0.0243670773,24.367077
forward_backward,slater,0,0.0012935679,1.293568
forward_backward,slater,1,0.0012191832,1.219183
forward_backward,slater,2,0.0011513159,1.151316
forward_backward,slater,3,0.0012651812,1.265181
forward_backward,slater,4,0.0012371801,1.237180
forward_backward,slater,5,0.0012764409,1.276441
forward_backward,slater,6,0.0013617314,1.361731
forward_backward,slater,7,0.0012476295,1.247630
forward_backward,slater,8,0.0012706555,1.270656
forward_backward,slater,9,0.0013813525,1.381353
forward_backward,slater,10,0.0012569688,1.256969
forward_backward,slater,11,0.0012291130,1.229113
forward_backward,slater,12,0.0012293868,1.229387
forward_backward,slater,13,0.0011801738,1.180174
forward_backward,slater,14,0.0011340566,1.134057
forward_backward,slater,15,0.0012008790,1.200879
forward_backward,slater,16,0.0012815129,1.281513
forward_backward,slater,17,0.0011846405,1.184640
forward_backward,slater,18,0.0010443386,1.044339
forward_backward,slater,19,0.0010340326,1.034033
forward_backward,slater,20,0.0012529530,1.252953
forward_backward,slater,21,0.0012968611,1.296861
forward_backward,slater,22,0.0012904406,1.290441
forward_backward,slater,23,0.0013784785,1.378478
forward_backward,slater,24,0.0012725685,1.272568
forward_backward,slater,25,0.0010621939,1.062194
forward_backward,slater,26,0.0011404064,1.140406
forward_backward,slater,27,0.0011616163,1.161616
forward_backward,slater,28,0.0011909660,1.190966
forward_backward,slater,29,0.0012788493,1.278849
forward_backward,slater,30,0.0012504961,1.250496
forward_backward,slater,31,0.0012505632,1.250563
forward_backward,slater,32,0.0009726528,0.972653
forward_backward,slater,33,0.0010787155,1.078716
forward_backward,slater,34,0.0010844879,1.084488
forward_backward,slater,35,0.0010554101,1.055410
forward_backward,slater,36,0.0011917520,1.191752
forward_backward,slater,37,0.0009774249,0.977425
forward_backward,slater,38,0.0012413077,1.241308
forward_backward,slater,39,0.0011539869,1.153987
forward_backward,boseformer,0,0.0250571687,25.057169
forward_backward,boseformer,1,0.0274708271,27.470827
forward_backward,boseformer,2,0.0234530251,23.453025
forward_backward,boseformer,3,0.0268528163,26.852816
forward_backward,boseformer,4,0.0239177365,23.917736
forward_backward,boseformer,5,0.0264747888,26.474789
forward_backward,boseformer,6,0.0230947901,23.094790
forward_backward,boseformer,7,0.0230640471,23.064047
forward_backward,boseformer,8,0.0229393151,22.939315
forward_backward,boseformer,9,0.0228033010,22.803301
forward_backward,boseformer,10,0.0227537192,22.753719
forward_backward,boseformer,11,0.0229508802,22.950880
forward_backward,boseformer,12,0.0227829237,22.782924
forward_backward,boseformer,13,0.0228752289,22.875229
forward_backward,boseformer,14,0.0229895096,22.989510
forward_backward,boseformer,15,0.0241882000,24.188200
forward_backward,boseformer,16,0.0272170454,27.217045
forward_backward,boseformer,17,0.0260560010,26.056001
forward_backward,boseformer,18,0.0262461957,26.246196
forward_backward,boseformer,19,0.0238643158,23.864316
forward_backward,boseformer,20,0.0233426448,23.342645
forward_backward,boseformer,21,0.0238294303,23.829430
forward_backward,boseformer,22,0.0235228781,23.522878
forward_backward,boseformer,23,0.0236277953,23.627795
forward_backward,boseformer,24,0.0230843388,23.084339
forward_backward,boseformer,25,0.0237046238,23.704624
forward_backward,boseformer,26,0.0236346126,23.634613
forward_backward,boseformer,27,0.0228346251,22.834625
forward_backward,boseformer,28,0.0234038830,23.403883
forward_backward,boseformer,29,0.0232925974,23.292597
forward_backward,boseformer,30,0.0253143199,25.314320
forward_backward,boseformer,31,0.0235534832,23.553483
forward_backward,boseformer,32,0.0252615344,25.261534
forward_backward,boseformer,33,0.0256101843,25.610184
forward_backward,boseformer,34,0.0232062601,23.206260
forward_backward,boseformer,35,0.0230241437,23.024144
forward_backward,boseformer,36,0.0231746491,23.174649
forward_backward,boseformer,37,0.0232258625,23.225863
forward_backward,boseformer,38,0.0229130611,22.913061
forward_backward,boseformer,39,0.0229789875,22.978988
backward_estimate,full,0,0.0188285150,18.828515
backward_estimate,full,1,0.0178839322,17.883932
backward_estimate,full,2,0.0196999926,19.699993
backward_estimate,full,3,0.0199191775,19.919178
backward_estimate,full,4,0.0187454764,18.745476
backward_estimate,full,5,0.0213952288,21.395229
backward_estimate,full,6,0.0190244429,19.024443
backward_estimate,full,7,0.0189402755,18.940276
backward_estimate,full,8,0.0204005651,20.400565
backward_estimate,full,9,0.0194863416,19.486342
backward_estimate,full,10,0.0189591218,18.959122
backward_estimate,full,11,0.0186361987,18.636199
backward_estimate,full,12,0.0196555480,19.655548
backward_estimate,full,13,0.0208742339,20.874234
backward_estimate,full,14,0.0180121735,18.012173
backward_estimate,full,15,0.0213111117,21.311112
backward_estimate,full,16,0.0172043592,17.204359
backward_estimate,full,17,0.0180559140,18.055914
backward_estimate,full,18,0.0191732626,19.173263
backward_estimate,full,19,0.0175270345,17.527035
backward_estimate,full,20,0.0201350749,20.135075
backward_estimate,full,21,0.0173271745,17.327175
backward_estimate,full,22,0.0205976423,20.597642
backward_estimate,full,23,0.0214930344,21.493034
backward_estimate,full,24,0.0180830900,18.083090
backward_estimate,full,25,0.0173852369,17.385237
backward_estimate,full,26,0.0211990401,21.199040
backward_estimate,full,27,0.0194228888,19.422889
backward_estimate,full,28,0.0189967249,18.996725
backward_estimate,full,29,0.0190043692,19.004369
backward_estimate,full,30,0.0193878897,19.387890
backward_estimate,full,31,0.0187007561,18.700756
backward_estimate,full,32,0.0190915000,19.091500
backward_estimate,full,33,0.0190783516,19.078352
backward_estimate,full,34,0.0205772873,20.577287
backward_estimate,full,35,0.0201421324,20.142132
backward_estimate,full,36,0.0190498270,19.049827
backward_estimate,full,37,0.0208875965,20.887597
backward_estimate,full,38,0.0199133679,19.913368
backward_estimate,full,39,0.0182364099,18.236410
backward_estimate,slater,0,0.0007236525,0.723653
backward_estimate,slater,1,0.0008778553,0.877855
backward_estimate,slater,2,0.0008748956,0.874896
backward_estimate,slater,3,0.0007507894,0.750789
backward_estimate,slater,4,0.0007850546,0.785055
backward_estimate,slater,5,0.0007148236,0.714824
backward_estimate,slater,6,0.0008246489,0.824649
backward_estimate,slater,7,0.0007868875,0.786887
backward_estimate,slater,8,0.0007997286,0.799729
backward_estimate,slater,9,0.0009096619,0.909662
backward_estimate,slater,10,0.0008723605,0.872361
backward_estimate,slater,11,0.0007198825,0.719883
backward_estimate,slater,12,0.0006849635,0.684964
backward_estimate,slater,13,0.0006586332,0.658633
backward_estimate,slater,14,0.0007127412,0.712741
backward_estimate,slater,15,0.0006958079,0.695808
backward_estimate,slater,16,0.0008094404,0.809440
backward_estimate,slater,17,0.0007275008,0.727501
backward_estimate,slater,18,0.0006758384,0.675838
backward_estimate,slater,19,0.0007441752,0.744175
backward_estimate,slater,20,0.0008177720,0.817772
backward_estimate,slater,21,0.0007550977,0.755098
backward_estimate,slater,22,0.0008495506,0.849551
backward_estimate,slater,23,0.0008754786,0.875479
backward_estimate,slater,24,0.0007812474,0.781247
backward_estimate,slater,25,0.0005700365,0.570036
backward_estimate,slater,26,0.0006511733,0.651173
backward_estimate,slater,27,0.0007941052,0.794105
backward_estimate,slater,28,0.0009116940,0.911694
backward_estimate,slater,29,0.0008262433,0.826243
backward_estimate,slater,30,0.0007426403,0.742640
backward_estimate,slater,31,0.0007093754,0.709375
backward_estimate,slater,32,0.0003521498,0.352150
backward_estimate,slater,33,0.0004635155,0.463516
backward_estimate,slater,34,0.0004609767,0.460977
backward_estimate,slater,35,0.0004359800,0.435980
backward_estimate,slater,36,0.0006040540,0.604054
backward_estimate,slater,37,0.0005005151,0.500515
backward_estimate,slater,38,0.0007840339,0.784034
backward_estimate,slater,39,0.0006474704,0.647470
backward_estimate,boseformer,0,0.0186398942,18.639894
backward_estimate,boseformer,1,0.0210201200,21.020120
backward_estimate,boseformer,2,0.0169889331,16.988933
backward_estimate,boseformer,3,0.0203278884,20.327888
backward_estimate,boseformer,4,0.0173920151,17.392015
backward_estimate,boseformer,5,0.0199253596,19.925360
backward_estimate,boseformer,6,0.0165249500,16.524950
backward_estimate,boseformer,7,0.0164830312,16.483031
backward_estimate,boseformer,8,0.0163602587,16.360259
backward_estimate,boseformer,9,0.0162097998,16.209800
backward_estimate,boseformer,10,0.0161923170,16.192317
backward_estimate,boseformer,11,0.0163240433,16.324043
backward_estimate,boseformer,12,0.0161851905,16.185191
backward_estimate,boseformer,13,0.0161914583,16.191458
backward_estimate,boseformer,14,0.0164290424,16.429042
backward_estimate,boseformer,15,0.0176273771,17.627377
backward_estimate,boseformer,16,0.0205897074,20.589707
backward_estimate,boseformer,17,0.0194716342,19.471634
backward_estimate,boseformer,18,0.0202267356,20.226736
backward_estimate,boseformer,19,0.0178346112,17.834611
backward_estimate,boseformer,20,0.0172682125,17.268213
backward_estimate,boseformer,21,0.0177802071,17.780207
backward_estimate,boseformer,22,0.0175099745,17.509975
backward_estimate,boseformer,23,0.0175992027,17.599203
backward_estimate,boseformer,24,0.0170682501,17.068250
backward_estimate,boseformer,25,0.0176881533,17.688153
backward_estimate,boseformer,26,0.0176239088,17.623909
backward_estimate,boseformer,27,0.0168217253,16.821725
backward_estimate,boseformer,28,0.0173934605,17.393460
backward_estimate,boseformer,29,0.0172891356,17.289136
backward_estimate,boseformer,30,0.0192898996,19.289900
backward_estimate,boseformer,31,0.0175077189,17.507719
backward_estimate,boseformer,32,0.0192358624,19.235862
backward_estimate,boseformer,33,0.0196031146,19.603115
backward_estimate,boseformer,34,0.0172025152,17.202515
backward_estimate,boseformer,35,0.0170241073,17.024107
backward_estimate,boseformer,36,0.0171742328,17.174233
backward_estimate,boseformer,37,0.0172206461,17.220646
backward_estimate,boseformer,38,0.0169101395,16.910139
backward_estimate,boseformer,39,0.0169675518,16.967552
