         23934 function calls in 0.065 seconds

   Ordered by: cumulative time
   List reduced from 86 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.065    0.065 /home/areddy/netket/results/lx4_ly3_nf4_t1_1.00_t2_-0.31_m_0.00_phi_0.65_V1_1.00_bloch_ed_perf_20260221_154232/run_ed_benchmark_profile.py:89(run_optimized_all_sectors)
        1    0.000    0.000    0.065    0.065 /home/areddy/netket/aidan_custom/bloch_ed/workflow.py:85(solve_projected_all_momentum_sectors)
        1    0.000    0.000    0.053    0.053 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:566(prepare_many_body_operator_data)
        1    0.015    0.015    0.027    0.027 /home/areddy/netket/aidan_custom/bloch_ed/interactions.py:121(extract_nonzero_quartic_terms)
        1    0.016    0.016    0.016    0.016 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:537(_group_quartic_terms)
       12    0.000    0.000    0.011    0.001 /home/areddy/netket/aidan_custom/bloch_ed/workflow.py:19(solve_projected_sector)
        1    0.011    0.011    0.011    0.011 /home/areddy/netket/aidan_custom/bloch_ed/interactions.py:10(make_quartic_term_list)
        1    0.009    0.009    0.009    0.009 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:123(_build_two_body_compact_arrays)
       12    0.000    0.000    0.006    0.001 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:776(build_many_body_hamiltonian_dense)
       12    0.000    0.000    0.006    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:307(_build_many_body_hamiltonian_dense_numba)
       12    0.000    0.000    0.005    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:832(diagonalize_many_body_hamiltonian)
       12    0.004    0.000    0.005    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/linalg/_linalg.py:1536(eigh)
       12    0.004    0.000    0.004    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:197(_assemble_dense_hamiltonian_numba)
       12    0.001    0.000    0.001    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:70(_build_occupied_matrix)
    20428    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       12    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:463(build_fock_basis)
       12    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:53(_build_state_index_lookup_array)
        7    0.000    0.000    0.000    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
        2    0.000    0.000    0.000    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/numeric.py:625(argwhere)
       12    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:514(<dictcomp>)
        2    0.000    0.000    0.000    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:2018(nonzero)
        1    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:553(_group_quartic_annihilation_targets)
        2    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     1980    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:525(_group_one_body_terms)
       12    0.000    0.000    0.000    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/numpy/_core/numeric.py:324(full)
        1    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:91(_build_one_body_compact_arrays)
       12    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:436(_get_or_build_momentum_sector_state_lists)
       36    0.000    0.000    0.000    0.000 /home/areddy/netket/.venv/lib/python3.11/site-packages/scipy/_lib/_sparse.py:10(issparse)
        1    0.000    0.000    0.000    0.000 /home/areddy/netket/aidan_custom/bloch_ed/many_body.py:560(<dictcomp>)


