delta,t_hh1,t_th2,t_hh3,t_tt1,ratio_nk21,gap_nk21,bw_nk21,chern_nk21,q_nk21,trace_nk21,chern_mag_error_nk21
5.426542963374432,0.4689334070165771,-0.0715147151587614,0.0373401871441721,-0.0377535889269079,0.004907933582907111,1.5136150075527341,0.0074287219271602645,-0.9999999999999988,1.0019572059718378,0.0019572059718390156,1.2212453270876722e-15
5.560182898829626,0.4641425270227112,-0.0783710191861276,0.0371919149313314,-0.0084365904598682,0.009486086146994463,1.4898702879626662,0.014133037899461298,-0.9999999999999977,1.0016562985958677,0.0016562985958700205,2.3314683517128287e-15
5.528129114003411,0.4462958043032565,-0.0453157956724738,0.0505633959669095,-0.1172782132390634,0.009654027748212429,1.4778916381350038,0.014267606883406447,-1.0000000000000013,1.002847239185896,0.00284723918589469,1.3322676295501878e-15
5.577031632668813,0.4309578923686966,-0.0065544079724638,0.0645371763217402,-0.2827620128966075,0.010657745941167055,1.470809690066772,0.015675516004538315,-1.0000000000000095,1.0078281366781656,0.007828136678156072,9.547918011776346e-15
5.668937078267885,0.4613117867566974,-0.0676216244751514,0.0351922221971804,-0.0708871211706064,0.010722595066646705,1.4791272360385732,0.01586008240408998,-1.000000000000001,1.002541283963914,0.0025412839639129547,1.1102230246251565e-15
5.10938974796742,0.4582847625828835,-0.049004364849811,0.0539726641743919,-0.0950340127364868,0.011114297686678149,1.5529701906304334,0.01726017299720395,-0.9999999999999992,1.0018510924606678,0.001851092460668613,7.771561172376096e-16
5.682119947874544,0.4455971035037022,-0.0514732846307059,0.0411644743322087,-0.1148860221948669,0.011197673612416264,1.4631559707049215,0.016383943004011803,-0.999999999999999,1.002753557136423,0.002753557136424001,9.992007221626409e-16
5.0233495610133385,0.4678108260486507,-0.0302823788179913,0.0551220212991312,-0.1863222826224351,0.011625718446201352,1.5804211694103163,0.018373531541980626,-0.9999999999999998,1.0038758145991584,0.0038758145991586446,2.220446049250313e-16
5.409871377712984,0.4459845576330992,-0.056401625397894,0.0461872365058409,-0.0393191849812661,0.011909764474135647,1.4825958040586409,0.017657366836680177,-0.9999999999999989,1.0019446231574343,0.0019446231574353767,1.1102230246251565e-15
5.226862634174988,0.4666640478562354,-0.0277732030241642,0.0540631042175856,-0.2479795221548232,0.012277545004030485,1.5704944009568562,0.0192818156863257,-0.9999999999999999,1.0049306006058008,0.004930600605800861,1.1102230246251565e-16
