delta,t_hh1,t_th2,t_hh3,t_tt1,ratio_nk21,gap_nk21,bw_nk21,chern_nk21,q_nk21,trace_nk21,chern_mag_error_nk21
5.426542963374432,0.4689334070165771,-0.0715147151587614,0.0373401871441721,-0.0377535889269079,0.004907933582907111,1.5136150075527341,0.0074287219271602645,-0.9999999999999988,1.0019572059718378,0.0019572059718390156,1.2212453270876722e-15
5.560182898829626,0.4641425270227112,-0.0783710191861276,0.0371919149313314,-0.0084365904598682,0.009486086146994463,1.4898702879626662,0.014133037899461298,-0.9999999999999977,1.0016562985958677,0.0016562985958700205,2.3314683517128287e-15
5.528129114003411,0.4462958043032565,-0.0453157956724738,0.0505633959669095,-0.1172782132390634,0.009654027748212429,1.4778916381350038,0.014267606883406447,-1.0000000000000013,1.002847239185896,0.00284723918589469,1.3322676295501878e-15
5.577031632668813,0.4309578923686966,-0.0065544079724638,0.0645371763217402,-0.2827620128966075,0.010657745941167055,1.470809690066772,0.015675516004538315,-1.0000000000000095,1.0078281366781656,0.007828136678156072,9.547918011776346e-15
5.668937078267885,0.4613117867566974,-0.0676216244751514,0.0351922221971804,-0.0708871211706064,0.010722595066646705,1.4791272360385732,0.01586008240408998,-1.000000000000001,1.002541283963914,0.0025412839639129547,1.1102230246251565e-15
5.10938974796742,0.4582847625828835,-0.049004364849811,0.0539726641743919,-0.0950340127364868,0.011114297686678149,1.5529701906304334,0.01726017299720395,-0.9999999999999992,1.0018510924606678,0.001851092460668613,7.771561172376096e-16
5.682119947874544,0.4455971035037022,-0.0514732846307059,0.0411644743322087,-0.1148860221948669,0.011197673612416264,1.4631559707049215,0.016383943004011803,-0.999999999999999,1.002753557136423,0.002753557136424001,9.992007221626409e-16
5.0233495610133385,0.4678108260486507,-0.0302823788179913,0.0551220212991312,-0.1863222826224351,0.011625718446201352,1.5804211694103163,0.018373531541980626,-0.9999999999999998,1.0038758145991584,0.0038758145991586446,2.220446049250313e-16
5.409871377712984,0.4459845576330992,-0.056401625397894,0.0461872365058409,-0.0393191849812661,0.011909764474135647,1.4825958040586409,0.017657366836680177,-0.9999999999999989,1.0019446231574343,0.0019446231574353767,1.1102230246251565e-15
5.226862634174988,0.4666640478562354,-0.0277732030241642,0.0540631042175856,-0.2479795221548232,0.012277545004030485,1.5704944009568562,0.0192818156863257,-0.9999999999999999,1.0049306006058008,0.004930600605800861,1.1102230246251565e-16
5.407780202462443,0.4740676428839956,-0.0607986491230594,0.0370029088543549,-0.1045560258385863,0.012814214566229802,1.529111077281108,0.019594357439878918,-1.000000000000002,1.0029010001258492,0.002901000125847153,1.9984014443252818e-15
5.350109687354015,0.4454178206447591,-0.0458591649164794,0.0500436912896107,-0.0738305705781891,0.013333275269835857,1.4878599524641005,0.019838046309168744,-1.0000000000000004,1.0025674026850504,0.0025674026850499576,4.440892098500626e-16
5.2353035821697205,0.456105833632373,-0.0540958821330392,0.0480346590616457,-0.0823211448387158,0.013651249145618704,1.5333536710742397,0.020932192992183518,-1.0000000000000013,1.001671739058265,0.001671739058263677,1.3322676295501878e-15
5.6386099613037794,0.4239829998182278,-0.0526193461200272,0.05114068614807,-0.0483214583899922,0.013848492651416166,1.438521021597221,0.01992134779649679,-1.0000000000000002,1.0017256329571091,0.0017256329571089246,2.220446049250313e-16
5.59703981721682,0.4541414414405199,-0.045724991695773,0.0425864907421683,-0.140436661047378,0.014542407702889682,1.4789411581458354,0.021507365290340585,-0.9999999999999963,1.00361708903735,0.0036170890373535824,3.6637359812630166e-15
5.281449577324247,0.454849077854141,-0.0603654320184756,0.0440594607259342,-0.0149646029993562,0.01450809479008965,1.5017649218615154,0.021787747838798444,-1.0000000000000013,1.0020444935098254,0.0020444935098240524,1.3322676295501878e-15
5.823458992463459,0.425132217309653,-0.0649954731412275,0.0419751231611392,-0.0254588498321965,0.015629307198213552,1.4235714570329514,0.022249435620576463,-0.9999999999999991,1.0012421934118756,0.00124219341187648,8.881784197001252e-16
5.6876620224747,0.4568695311571112,-0.0705879299134286,0.0419577568411064,-0.0872577856241717,0.016255159186919596,1.49127897168268,0.024240977076807724,-1.0000000000000002,1.0015055752066162,0.0015055752066159833,2.220446049250313e-16
5.10343776180448,0.4889920235655966,-0.0573591056123029,0.0389296013176145,-0.0943717399443284,0.016833322153879726,1.5736750529802443,0.026490179132340197,-0.9999999999999994,1.0031730687731641,0.0031730687731647,5.551115123125783e-16
5.534829272987135,0.4687900461192158,-0.0746454809782472,0.0376765628724638,-0.0247151307134773,0.016721853141453854,1.4944105138297332,0.024989313145305392,-1.0000000000000007,1.0020281562773377,0.00202815627733699,6.661338147750939e-16
5.295825423782462,0.4461193099838579,-0.0165021932596416,0.0587124367598121,-0.262578728678554,0.01746988660573943,1.5380797888942412,0.02687007950256204,-1.000000000000002,1.0053923618122207,0.005392361812218693,1.9984014443252818e-15
