delta,t_hh1,t_th2,t_hh3,t_tt1,nk,bandwidth_low,gap_low_mid,flatness_ratio,chern_low,quantum_weight_low,trace_violation,trace_violation_abs,chern_mag_error,is_gapped,round_seed,stage,score
5.426542963374432,0.4689334070165771,-0.07151471515876148,0.037340187144172164,-0.0377535889269079,11,0.007246422301044886,1.5218530835981015,0.00476157809130448,-1.000000011831318,1.0019572183235759,0.0019572064922579457,0.0019572064922579457,1.18313179253704e-08,True,20260221,seed_stage2,0.0022199315038658467
5.560182898829626,0.46414252702271125,-0.07837101918612767,0.037191914931331484,-0.008436590459868276,11,0.014100834847758925,1.4977739175244225,0.009414528242730598,-1.0000000049450983,1.0016563036638102,0.0016562987187118683,0.0016562987187118683,4.9450983308219065e-09,True,20260230,polish,0.0031996636277417264
5.10938974796742,0.45828476258288353,-0.04900436484981105,0.05397266417439192,-0.09503401273648687,11,0.017084150027155687,1.5601167713850492,0.010950558535428489,-0.9999999930686286,1.0018510831518865,0.0018510900832579003,0.0018510900832579003,6.931371365759276e-09,True,20260230,polish,0.003885600438003147
5.409871377712984,0.4459845576330992,-0.056401625397894076,0.04618723650584094,-0.03931918498126616,11,0.01769757390158988,1.4901722899986947,0.011876193122343849,-1.0000000117962218,1.0019446346982976,0.0019446229020758654,0.0019446229020758654,1.1796221777160554e-08,True,20260230,polish,0.004269626739187072
5.2353035821697205,0.45610583363237306,-0.05409588213303922,0.048034659061645724,-0.08232114483871582,11,0.02087849015064247,1.5407926783503338,0.013550486346415046,-1.000000004385502,1.001671743109582,0.0016717387240801074,0.0016717387240801074,4.3855019615790525e-09,True,20260230,polish,0.0044192494743747895
5.823458992463459,0.42513221730965306,-0.06499547314122754,0.04197512316113925,-0.02545884983219652,11,0.02212366733375215,1.4304653958498281,0.015466062582107172,-0.9999999997827509,1.0012421926175636,0.0012421928348127498,0.0012421928348127498,2.172491075924654e-10,True,20260230,polish,0.004445919337859142
5.6386099613037794,0.42398299981822785,-0.05261934612002728,0.05114068614807009,-0.04832145838999227,11,0.019821353763472382,1.4451128384987397,0.013716128758543078,-0.9999999829881698,1.0017256118642779,0.001725628876108054,0.001725628876108054,1.7011830166779873e-08,True,20260230,polish,0.0045339485919182665
5.668937078267885,0.46131178675669743,-0.06762162447515144,0.03519222219718048,-0.07088712117060643,11,0.015515434241112791,1.4875869296637,0.010429934501118787,-1.0000000192168992,1.0025413032675317,0.002541284050632475,0.002541284050632475,1.9216899183049918e-08,True,20260220,seed_stage2,0.0045851700170281805
5.528129114003411,0.4462958043032565,-0.045315795672473895,0.050563395966909556,-0.11727821323906347,11,0.014267606883406891,1.4854740987648147,0.009604749685821205,-1.00000001540341,1.002847253251421,0.002847237848010886,0.002847237848010886,1.5403410102976522e-08,True,20260230,polish,0.004722585241830508
5.6876620224747,0.4568695311571112,-0.07058792991342867,0.04195775684110648,-0.0872577856241717,11,0.02424798165953601,1.4985071604734705,0.016181425287200218,-0.9999999990878695,1.0015055742717975,0.0015055751839280207,0.0015055751839280207,9.121304822556908e-10,True,20260230,polish,0.004978135421602491
