delta,t_hh1,t_th2,t_hh3,t_tt1,nk,bandwidth_low,gap_low_mid,flatness_ratio,chern_low,quantum_weight_low,trace_violation,trace_violation_abs,berry_std,chern_mag_error,is_gapped,round_seed,stage,score
3.8270650796849393,0.4257832065976409,-0.07361061611664284,0.0629799930060508,-0.033027076838081426,7,0.3827188963866859,1.8610276028290946,0.20564923153470951,-0.9999907464575407,1.0049668200378914,0.004976073580350682,0.004976073580350682,0.04839053518396716,9.253542459286557e-06,True,20260230,polish,0.20159797404825158
3.8,0.4144951652838856,-0.055694102886281696,0.06407396542040074,-0.03905834717058851,7,0.3798972094149424,1.8275008875106975,0.20787798901286095,-0.9999914155533018,1.0038648245754866,0.003873409022184804,0.003873409022184804,0.04944998220601725,8.584446698156611e-06,True,20260230,polish,0.205462753821638
3.8,0.4847848548778199,-0.0932871268379265,0.07094898361923574,-0.11388110350387921,7,0.32903211499420726,1.9802926298315804,0.16615327958989107,-1.0000018249166602,1.0053155236675502,0.005313698750889939,0.005313698750889939,0.051675228633214644,1.8249166602313238e-06,True,20260230,polish,0.20600811665740723
3.8,0.45988271186986324,-0.08349158138775792,0.055292496632660816,-0.10789494769457442,7,0.39289535624965355,1.9524419647289384,0.20123279633779026,-0.999998840316247,1.0038192573250466,0.003820417008799648,0.003820417008799648,0.050065639385492765,1.1596837530269966e-06,True,20260220,seed_stage2,0.2062258208114813
3.8,0.40607996428191956,-0.08390027271964534,0.07558206456065832,-0.04134156189495243,7,0.44034304712879746,1.8448686139405268,0.23868531547525845,-1.0000076023353397,1.011694102573357,0.011686500238017317,0.011686500238017317,0.04513835072715118,7.602335339695898e-06,True,20260230,polish,0.20659848038707754
3.8,0.4016167660872733,-0.09202863464563611,0.05264091553661109,-0.04939416059156845,7,0.5504599431867627,1.9245906548855853,0.28601403721327273,-1.000014973197324,1.0121341180423562,0.012119144845032181,0.012119144845032181,0.04232822435168353,1.4973197324019694e-05,True,20260230,polish,0.20793546588861403
3.959165995321527,0.4047465892612322,-0.0754653544118276,0.05554591064315752,-0.0215366532477036,7,0.43210321799686646,1.8248063571805728,0.23679401175722006,-0.9999950037383798,1.0064999939798749,0.00650499024149509,0.00650499024149509,0.04774146482750065,4.996261620204834e-06,True,20260230,polish,0.2099777663052977
3.8,0.3965673112319359,-0.07274317967758999,0.04650012287246096,-0.0575689865720158,7,0.5427682155724431,1.8843487620091233,0.2880402113002345,-0.9999997368276557,1.0077426041122803,0.007742867284624588,0.007742867284624588,0.04421098506455474,2.6317234425032865e-07,True,20260230,polish,0.21015263977050128
3.8865387091870978,0.40766355143961486,-0.09494758307979231,0.04546064162803816,-0.02244289968217882,7,0.5204404242631446,1.8921839928306456,0.2750474722516718,-1.000005260897934,1.0107139826562537,0.010708721758319717,0.010708721758319717,0.04401447048576919,5.260897933956343e-06,True,20260230,polish,0.21027633202190082
3.8090307099561995,0.3874457243404919,-0.08674828489011058,0.04882074213755616,-0.05296185800423598,7,0.5915074132762352,1.9115698629834983,0.3094354146978626,-1.0000107335405608,1.0128142375620235,0.012803504021462686,0.012803504021462686,0.04130717341683511,1.0733540560803334e-05,True,20260230,polish,0.21096379856270292
3.8607685890913044,0.4032579850478176,-0.1002589354619606,0.05522682452100902,-0.043599754357293005,7,0.5383058753112602,1.921250641655727,0.2801851375556862,-1.0000269529784414,1.0140719201086366,0.014044967130195207,0.014044967130195207,0.0427918386630492,2.695297844135247e-05,True,20260222,seed_stage1,0.21170201128974875
3.884821471915038,0.41494362868209456,-0.06618180425548756,0.051036879093886045,-0.04783856408216717,7,0.4300476307301915,1.8410499629640338,0.2335882455019461,-0.9999960237528597,1.0040580659389846,0.004062042186124937,0.004062042186124937,0.04917244610084724,3.976247140324851e-06,True,20260222,seed_stage2,0.2118610915654173
