delta,t_hh1,t_th2,t_hh3,t_tt1,nk,bandwidth_low,gap_low_mid,flatness_ratio,chern_low,quantum_weight_low,trace_violation,trace_violation_abs,berry_std,chern_mag_error,is_gapped,round_seed,stage
5.417475728155339,0.35145631067961164,0.013592233009708738,0.08349514563106795,-0.08932038834951456,7,0.0893244837725562,1.3563135242451405,0.06585828584306859,-1.0000579313601585,1.0124242629615179,0.01236633160135936,0.01236633160135936,0.08041824960915715,5.793136015852518e-05,True,20260220,seed_stage1
4.449220394697635,0.12455561997935358,0.022962839917288216,-0.006257117321017927,-0.14767360116563327,7,1.1918001757403804,0.7097910159500138,1.6790860252650923,-1.0002159960353492,1.0542961961037265,0.054080200068377327,0.054080200068377327,0.033397305028483086,0.00021599603534916412,True,20260220,seed_stage1
6.531465911510059,0.30347499429456276,0.12826287877414708,0.14720542641482173,-0.07516691974038342,7,0.4534765331057967,0.814553159809186,0.5567181560157797,-0.9922959577579712,1.1588192733056197,0.16652331554764854,0.16652331554764854,0.12932964404712977,0.007704042242028808,True,20260220,seed_stage1
6.262166047738314,0.3862187946763065,0.17573053597167773,0.086521809038877,-0.087070696579662,7,0.6863488309365287,0.9274822126231328,0.7400129313481673,-0.9837763375756016,1.138655097235609,0.15487875966000753,0.15487875966000753,0.13526650294180928,0.016223662424398433,True,20260220,seed_stage1
5.559821217054955,0.4105253083694011,0.03583810409245012,0.160955488101278,0.007170655071742915,7,0.5921258815103849,1.0499753519672193,0.5639426491307497,-0.9921950979660576,1.0847625170564774,0.09256741909041977,0.09256741909041977,0.10794498829070491,0.007804902033942351,True,20260220,seed_stage1
6.383146065174192,0.5640765553934108,0.0008568318582405452,0.11883938061834898,-0.014258593114724327,7,0.8479765189252126,1.2175788711386741,0.6964448373945492,-0.9996231164495613,1.0692486550333953,0.06962553858383402,0.06962553858383402,0.11763346556495188,0.00037688355043874466,True,20260220,seed_stage1
7.303538230414927,0.3618005927615827,0.006310685087145233,0.07184935572409784,-0.22645857195495608,7,0.15524985477510977,1.1564790731289503,0.13424354870085836,-1.0001535893911766,1.01861129087945,0.018457701488273415,0.018457701488273415,0.10007450618833774,0.00015358939117660064,True,20260220,seed_stage1
6.568932496098661,0.5336232908493134,0.09377547929052418,0.061908390155447676,-0.026375316806025784,7,0.8019496474866576,1.0478431466815643,0.7653336761578946,-0.9741271800459536,1.0910648105785352,0.11693763053258166,0.11693763053258166,0.13779673067164105,0.025872819954046444,True,20260220,seed_stage1
5.288048537710358,0.32065360300821344,0.054210426285132285,-0.044904206613411435,-0.1043702315822245,7,0.8178195371105886,1.3352428870288424,0.6124874695497426,-0.9975268889318506,1.046534317693965,0.04900742876211439,0.04900742876211439,0.10575991978822336,0.002473111068149403,True,20260220,seed_stage1
5.438083400586248,0.2926672622265286,-0.13364819491057733,0.11452890058690762,-0.13389530806869643,7,0.5954422587509633,1.1531822827855387,0.5163470403938731,-1.0027804586024025,1.1052203540411372,0.10243989543873466,0.10243989543873466,0.07685157888230414,0.0027804586024025024,True,20260220,seed_stage1
5.779184279014004,0.4477226903166303,-0.013887173989153534,-0.041134101904786904,-0.08590233600587024,7,0.45060066598488047,1.3999208256152715,0.32187582164644163,-0.9975047190125124,1.0363544172628265,0.038849698250314146,0.038849698250314146,0.11217597043354352,0.002495280987487636,True,20260220,seed_stage1
7.015042830004413,0.23455486094176511,0.008487875200448473,0.02921646281586473,-0.23339656656661312,7,0.3905104294259679,1.1890797791060403,0.32841398557761764,-0.9999765266404778,1.0011944667976231,0.0012179401571453807,0.0012179401571453807,0.07719395825656976,2.3473359522241388e-05,True,20260220,seed_stage1
5.768916913245668,0.3002800620384545,0.012200532671459654,-0.06292510348263222,-0.00929513612975566,7,0.868293669312882,1.3012762960078519,0.6672631108218102,-0.9994262199734365,1.0561222756219975,0.05669605564856095,0.05669605564856095,0.10310817443771068,0.0005737800265634974,True,20260220,seed_stage1
5.469239643518119,0.32222863093400744,-0.0214302992575163,0.10114379944676723,-0.13242573217399412,7,0.17660148288746225,1.2757311603693697,0.13843158211823392,-0.999283377732122,1.0175182765461053,0.018234898813983325,0.018234898813983325,0.0738989016529838,0.0007166222678780532,True,20260220,seed_stage1
5.449767356667627,0.3456338364538185,-0.07270432143961246,0.11336948628683902,-0.09564191780696112,7,0.29316728453057395,1.2426518008973324,0.2359207014538382,-0.9992420129061335,1.033505918109081,0.03426390520294764,0.03426390520294764,0.07469455221863715,0.0007579870938665412,True,20260220,seed_stage1
6.089777426758275,0.43991117960961645,0.02451707302209983,0.16073181152274027,-0.29661915126111055,7,0.6423173689989066,1.1173273494395597,0.5748694590901106,-0.9936499599771234,1.0768704442052792,0.08322048422815587,0.08322048422815587,0.10827786297604684,0.006350040022876646,True,20260220,seed_stage1
5.694283279452374,0.22390084078812747,-0.03834844763211463,0.10053610755853927,-0.082468338525865,7,0.4283583324629969,1.0468810897300025,0.4091757284234386,-1.0000961588803297,1.0525909635962605,0.05249480471593082,0.05249480471593082,0.07147591406746807,9.615888032965536e-05,True,20260220,seed_stage1
5.237040400249403,0.27877478285314894,-0.1136857208962117,0.1286413191098678,-0.017741521308826752,7,0.5012669914684544,1.0448407762787089,0.47975443038676224,-1.0034317650497173,1.115968514920076,0.11253674987035867,0.11253674987035867,0.08324947442860559,0.003431765049717317,True,20260220,seed_stage1
5.095856074026053,0.401154952871509,0.01730622233277508,0.13298789573093567,-0.2694696257500946,7,0.24711095844271758,1.3575088530433184,0.18203266806601975,-0.9986196328922687,1.0320785955382776,0.033458962646008894,0.033458962646008894,0.0846198104011437,0.0013803671077312618,True,20260220,seed_stage1
5.9034945804866785,0.4236564779489015,0.0021798373883923413,0.08506168156883537,-0.07988557250148479,7,0.23442658187090815,1.3040905346282923,0.1797625054749188,-1.00016592794414,1.020744392255198,0.02057846431105803,0.02057846431105803,0.09394156758383981,0.00016592794413994305,True,20260220,seed_stage1
6.090748108332382,0.342914566428116,-0.0011722623068351236,0.13765392388732053,-0.056620983453009636,7,0.3759200930660145,0.9957381726464496,0.37752905672673254,-0.9926661107495657,1.053774651737476,0.0611085409879103,0.0611085409879103,0.0990104308758005,0.007333889250434322,True,20260220,seed_stage1
5.932702535537401,0.3338758463381072,-0.060213584684667185,0.13496629507651017,-0.06132271961380837,7,0.31790678068234257,1.0175966046700862,0.312409435353227,-0.9955141270842921,1.0576449748763823,0.062130847792090216,0.062130847792090216,0.09217196486131032,0.0044858729157079,True,20260220,seed_stage1
5.787330557086552,0.4526824578781571,-0.02729145584721529,0.16228305248230238,-0.02535251246056308,7,0.7141366260293387,1.0965932054832899,0.6512320361447114,-0.9909318198452806,1.0633196016376278,0.07238778179234728,0.07238778179234728,0.10371006065112244,0.00906818015471944,True,20260220,seed_stage1
5.67078529259592,0.39394489237552605,0.05765723344920984,0.022576273725708813,-0.1385382918429118,7,0.27010712990851493,1.2709395417164708,0.2125255537676647,-0.9961866516508917,1.0298879722042458,0.033701320553354064,0.033701320553354064,0.10681854036972156,0.003813348349108292,True,20260220,seed_stage1
5.908897443499349,0.28489771655210033,-0.01984355523874931,0.03475761574556113,-0.0809561778844709,7,0.3763429378067713,1.3455244866011096,0.2796998059525771,-0.9999979239832816,1.0028508199260586,0.002852895942777045,0.002852895942777045,0.06879036168721703,2.076016718421947e-06,True,20260220,seed_stage1
5.308754568217897,0.36744485253408515,-0.026698256692723576,0.03131597925655236,-0.12245281189978441,7,0.29721931203504237,1.4934331037907331,0.19901749283621756,-0.9999655752864215,1.001526650676015,0.0015610753895934915,0.0015610753895934915,0.07322305356686633,3.442471357850696e-05,True,20260220,seed_stage1
6.36223204889065,0.36335598429698895,-0.023092738737830888,-0.08687084635171712,-0.2199530907321855,7,0.8472753633278557,1.3910922631209743,0.6090720118210977,-1.0006404584903696,1.0597283146046952,0.05908785611432554,0.05908785611432554,0.11379586761742366,0.0006404584903696442,True,20260220,seed_stage1
6.4954852837756025,0.3834674548904466,0.04564479970424165,0.08884743088831241,0.03039094542343934,7,0.37577589051497284,1.0888597056510922,0.3451095568737891,-0.9999077646511213,1.0488681353117637,0.048960370660642405,0.048960370660642405,0.10813082189909701,9.223534887869977e-05,True,20260220,seed_stage1
5.187031492694052,0.4425087026189618,0.12278887776731837,0.029520202054429255,-0.035753966913775484,7,0.5838993107729553,1.1771980556104447,0.49600770914472,-0.9832445146799148,1.0775739126987376,0.09432939801882279,0.09432939801882279,0.12574594723923255,0.016755485320085195,True,20260220,seed_stage1
5.635489383617159,0.35401527322109877,0.03109952990766309,0.12257616196625637,-0.11741370573058081,7,0.23385837895494155,1.1848391035926158,0.1973756421828472,-0.9983439870323122,1.0392932434074416,0.04094925637512936,0.04094925637512936,0.09223044462988697,0.0016560129676878033,True,20260220,seed_stage1
6.261553347545838,0.32618942749852764,0.045048419984261165,-0.06675841321300852,-0.16503400702743046,7,0.8117808750507456,1.2395691113815694,0.6548895641211728,-0.9960859201222075,1.0613911548845538,0.06530523476234629,0.06530523476234629,0.12240477097809806,0.003914079877792465,True,20260220,seed_stage1
5.621882707756466,0.32800793021468416,-0.04566868973486264,0.11184737531780273,-0.07198414032547668,7,0.2354332944836537,1.184365359097804,0.19878434697127254,-0.9985823844039938,1.0288291574141721,0.030246773010178307,0.030246773010178307,0.07772653394580425,0.001417615596006172,True,20260220,seed_stage1
4.955881946887187,0.6004309417011966,0.05707050655596983,0.11977024186087375,-0.10298828812435881,7,0.8081153099569964,1.3731577406201314,0.5885087241266569,-0.9970373418884494,1.0735225625709992,0.07648522068254981,0.07648522068254981,0.1114092001100251,0.002962658111550609,True,20260220,seed_stage1
5.870551112686179,0.3744711742666627,0.04408144849883752,0.2042863797154252,-0.1387451489988149,7,0.7573686571180631,0.7405160399485877,1.0227579367094404,-0.9436745087000633,1.1373921245695424,0.1937176158694791,0.1937176158694791,0.12367614500147818,0.05632549129993669,True,20260220,seed_stage1
5.723605898881096,0.3708735565982196,0.04898881269470287,0.05505755733878723,-0.11027783968657157,7,0.2039933333803845,1.253690162019306,0.16271431296215527,-0.9989128396952337,1.0227815301814418,0.0238686904862081,0.0238686904862081,0.09686011125392809,0.0010871603047662992,True,20260220,seed_stage1
4.932717476484342,0.30358812546547004,0.13393497982775412,0.06470355681571155,-0.27179481128865485,7,0.41509722081431755,1.2811419882793853,0.32400563295236806,-0.9984121162212829,1.0424534577373767,0.044041341516093846,0.044041341516093846,0.09633859680240774,0.001587883778717103,True,20260220,seed_stage1
5.771349694018224,0.5699760667608043,-0.02212273459045691,0.03761553304889462,-0.21510096520708122,7,0.37736147841691525,1.4731441822390783,0.2561605869721127,-0.9978317444230579,1.0245444617483364,0.026712717325278468,0.026712717325278468,0.10781482593021918,0.002168255576942113,True,20260220,seed_stage1
4.8885063629454715,0.43599549663149473,-0.036766942784460126,0.1382446565971615,-0.10929917638925894,7,0.3725685134844401,1.3714134730415388,0.2716675319356115,-0.997963161458979,1.0288321316421156,0.030868970183136613,0.030868970183136613,0.08053317545828573,0.002036838541020991,True,20260220,seed_stage1
5.476839005508911,0.29121066211495417,-0.035105978130482794,0.07366048903516026,-0.09485179630314693,7,0.3489314452104242,1.3573298189136327,0.25707196611189076,-0.9998886174568138,1.0105918650697658,0.01070324761295205,0.01070324761295205,0.06333230545953492,0.00011138254318621144,True,20260220,seed_stage1
5.55062931124541,0.3127258494131164,0.00046510794697086737,0.07841515987499362,0.08221811567847537,7,0.14130970023369716,1.278066364152328,0.11056522900312786,-0.9999526053983933,1.0150215454370322,0.0150689400386389,0.0150689400386389,0.07653631417476853,4.73946016067428e-05,True,20260220,seed_stage1
5.315406034355577,0.41156401951601357,0.04433751305094516,0.029766890922161907,-0.07063459332045774,7,0.2595817245822487,1.322940916549872,0.1962156596223646,-0.9971899923439446,1.0269451675297316,0.029755175185787075,0.029755175185787075,0.10099274191081968,0.0028100076560554355,True,20260220,seed_stage1
