t2,phi,band_width,band_gap,width_gap_ratio,chern_number,quantum_weight,trace_condition,valid_gapped,chern_near_target
-3.0,0.0,24.08309549834431,0.3511410091698927,68.58525455422432,0.0,1.7705501883034669,1.7705501883034669,1,0
-3.0,0.02617993877991494,24.33835200992707,0.880095105905278,27.654229465226155,1.0001220263061208,1.2590849109279274,0.2589628846218066,1,1
-3.0,0.05235987755982988,24.696267794301004,1.6512372567720517,14.95622006650874,0.9999999963325966,1.0848813613574344,0.08488136502483778,1,1
-3.0,0.07853981633974483,25.04666654406381,2.0,12.523333272031905,1.000000056363316,1.0667371902904328,0.06673713392711678,1,1
-3.0,0.10471975511965977,25.380918530012117,2.0,12.690459265006059,1.0000007109577302,1.109046758826794,0.1090460478690638,1,1
-3.0,0.1308996938995747,25.696974749354986,2.0,12.848487374677493,1.0000046807423304,1.1820806443401202,0.18207596359778977,1,1
-3.0,0.15707963267948966,25.99399766132049,2.0,12.996998830660244,1.0000391025888808,1.2730266177511873,0.27298751516230646,1,1
-3.0,0.18325957145940458,26.27151467936013,2.0,13.135757339680065,1.0002007941457456,1.375482628997647,0.37528183485190136,1,1
-3.0,0.20943951023931953,26.529200213357996,2.0,13.264600106678998,1.0006774540340309,1.4861232043224246,0.48544575028839376,1,1
-3.0,0.23561944901923448,26.76680208679791,2.0,13.383401043398955,1.0017193927675474,1.6033244612647513,0.6016050684972039,1,1
-3.0,0.2617993877991494,26.98411194365525,2.0,13.492055971827625,1.0035870260755315,1.7264389464292187,0.7228519203536872,1,1
-3.0,0.28797932657906433,27.180951788442016,2.0,13.590475894221008,1.0065056479199288,1.8553512367166158,0.848845588796687,1,1
-3.0,0.3141592653589793,27.357167280654906,2.0,13.678583640327453,1.0106403718682464,1.9901967128307323,0.9795563409624859,1,1
-3.0,0.34033920413889424,27.512624153300628,2.0,13.756312076650314,1.0160896047394234,2.131189936469624,1.1151003317302006,1,1
-3.0,0.36651914291880916,27.647206192815844,2.0,13.823603096407922,1.0228903747829614,2.2785271526445396,1.2556367778615782,1,1
-3.0,0.39269908169872414,27.760814048818336,2.0,13.880407024409168,1.0310292351388464,2.4323366633059824,1.401307428167136,1,1
-3.0,0.41887902047863906,27.853364507033255,2.0,13.926682253516628,1.040454521857123,2.5926583080138337,1.5522037861567106,1,1
-3.0,0.445058959258554,27.924790030918818,2.0,13.962395015459409,1.051087684404767,2.7594394753643883,1.7083517909596213,1,1
-3.0,0.47123889803846897,27.975038463785594,2.0,13.987519231892797,1.062832735842576,2.932539723427727,1.8697069875851509,1,1
-3.0,0.4974188368183839,28.004072828685,2.0,14.0020364143425,1.0755836318669236,3.111739298977956,2.0361556671110326,1,1
-3.0,0.5235987755982988,28.011871188392973,2.0,14.005935594196487,1.0892297584408799,3.2967489168014286,2.2075191583605487,1,1
-3.0,0.5497787143782138,27.998426542147335,2.0,13.999213271073668,1.103659847175524,3.4872194259351126,2.3835595787595887,1,1
-3.0,0.5759586531581287,27.963746744276776,2.0,13.981873372138388,1.1187646565965301,3.6827507262700467,2.5639860696735166,1,1
-3.0,0.6021385919380436,27.907854435027318,2.0,13.953927217513659,1.1344387222721308,3.882899706528613,2.748460984256482,1,1
-3.0,0.6283185307179586,27.830786977126493,2.0,13.915393488563247,1.150581425397951,4.087187186236457,2.9366057608385057,1,1
-3.0,0.6544984694978735,27.73259639369926,2.0,13.86629819684963,1.167097575358961,4.295103943756505,3.128006368397544,1,1
-3.0,0.6806784082777885,27.613349304508198,2.0,13.806674652254099,1.1838976543650428,4.5061159503958494,3.3222182960308064,1,1
-3.0,0.7068583470577035,27.473126858399425,2.0,13.736563429199713,1.2008978336258926,4.719668936633732,3.5187711030078392,1,1
-3.0,0.7330382858376183,27.312024660454192,2.0,13.656012330227096,1.2180198404250497,4.935192407379343,3.717172566954294,1,1
-3.0,0.7592182246175333,27.130152692775262,2.0,13.565076346387631,1.2351907326641458,5.152103207961603,3.9169124752974573,1,1
-3.0,0.7853981633974483,26.927635228139664,2.0,13.463817614069832,1.2523426205499153,5.3698087260030025,4.117466105453087,1,0
-3.0,0.8115781021773631,26.70461073596585,2.0,13.352305367982925,1.2694123627586895,5.587709798703637,4.318297435944947,1,0
-3.0,0.8377580409572781,26.46123178020104,2.0,13.23061589010052,1.2863412555179887,5.805203381296699,4.5188621257787105,1,0
-3.0,0.8639379797371931,26.197664908850598,2.0,13.098832454425299,1.3030747267029392,6.021685020781719,4.71861029407878,1,0
-3.0,0.890117918517108,25.914090534959097,2.0,12.957045267479549,1.3195620425725716,6.236551169411609,4.916989126839037,1,0
-3.0,0.916297857297023,25.610702808918752,2.0,12.805351404459376,1.3357560316533015,6.44920136457831,5.113445332925009,1,0
-3.0,0.9424777960769379,25.287709482032746,2.0,12.643854741016373,1.351612828133132,6.659040295442352,5.30742746730922,1,0
-3.0,0.9686577348568528,24.94533176130122,2.0,12.47266588065061,1.3670916356815053,6.865479771623045,5.49838813594154,1,0
-3.0,0.9948376736367678,24.58380415543026,2.0,12.29190207771513,1.382154511653473,7.06794060527503,5.685786093621557,1,0
-3.0,1.0210176124166828,24.20337431209044,2.0,12.10168715604522,1.3967661710268897,7.265854414724782,5.869088243697892,1,0
-3.0,1.0471975511965976,23.80430284647307,2.0,11.902151423236536,1.4108938090524732,7.458665355361469,6.047771546308995,1,0
-3.0,1.0733774899765125,23.386863161210904,2.0,11.693431580605452,1.4245069413939728,7.645831781536179,6.2213248401422065,1,0
-3.0,1.0995574287564276,22.95134125774537,2.0,11.475670628872685,1.4375772604458759,7.826827841712407,6.3892505812665314,1,0
-3.0,1.1257373675363425,22.498035539235964,2.0,11.249017769617982,1.4500785065014892,8.001145007942414,6.551066501440925,1,0
-3.0,1.1519173063162573,22.027256605119476,2.0,11.013628302559738,1.4619863524782375,8.16829353984895,6.7063071873707125,1,0
-3.0,1.1780972450961724,21.539327037437246,2.0,10.769663518718623,1.4732783009712564,8.327803882614749,6.854525581643492,1,0
-3.0,1.2042771838760873,21.034581179058176,2.0,10.517290589529088,1.4839335924879784,8.47922799797971,6.995294405491731,1,0
-3.0,1.2304571226560022,20.513364903934082,2.0,10.256682451967041,1.493933123806832,8.622140626882974,7.128207503076142,1,0
-3.0,1.2566370614359172,19.976035379532014,2.0,9.988017689766007,1.5032593754965051,8.75614048213703,7.252881106640524,1,0
-3.0,1.2828170002158321,19.42296082159565,2.0,9.711480410797826,1.511896347724757,8.8808513693612,7.368955021636443,1,0
-3.0,1.308996938995747,18.85452024139476,2.0,9.42726012069738,1.5198295035751448,8.995923234316143,7.476093730740998,1,0
-3.0,1.335176877775662,18.27110318562875,2.0,9.135551592814375,1.5270457191748648,9.101033134754164,7.5739874155793,1,0
-3.0,1.361356816555577,17.67310946915595,2.0,8.836554734577975,1.533533240016559,9.195886134922503,7.662352894905944,1,0
-3.0,1.3875367553354918,17.060948900726785,2.0,8.530474450363393,1.5392816429311844,9.280216120918384,7.740934477987199,1,0
-3.0,1.413716694115407,16.43504100190433,2.0,8.217520500952165,1.5442818032379466,9.353786535189219,7.809504731951272,1,0
-3.0,1.4398966328953218,15.795814719361225,2.0,7.897907359680612,1.54852586666117,9.416391028592013,7.867865161930843,1,0
-3.0,1.4660765716752366,15.143708130747099,2.0,7.571854065373549,1.5520072256632607,9.467854028569302,7.915846802906042,1,0
-3.0,1.4922565104551517,14.596149846857358,2.0,7.298074923428679,1.55472049989803,9.508031222159225,7.953310722261195,1,0
-3.0,1.5184364492350666,14.546587242754493,2.0,7.273293621377246,1.5566615205402308,9.536809952732849,7.980148432192618,1,0
-3.0,1.5446163880149815,14.486371160641966,2.0,7.243185580320983,1.5578273182956297,9.554109529538241,7.996282211242612,1,0
-3.0,1.5707963267948966,14.415542865372423,2.0,7.2077714326862115,1.5582161149420182,9.559881449326616,8.001665334384597,1,0
-3.0,1.5969762655748114,14.33415089771099,2.0,7.167075448855495,1.5578273182956297,9.554109529538241,7.996282211242612,1,0
-3.0,1.6231562043547263,14.242251041057184,2.0,7.121125520528592,1.5566615205402308,9.536809952732849,7.980148432192618,1,0
-3.0,1.6493361431346414,14.139906283224425,2.0,7.0699531416122126,1.55472049989803,9.508031222159225,7.953310722261195,1,0
-3.0,1.6755160819145563,14.027186773303493,2.0,7.013593386651746,1.5520072256632609,9.467854028569304,7.915846802906043,1,0
-3.0,1.7016960206944711,13.904169773639907,2.0,6.952084886819954,1.5485258666611703,9.416391028592017,7.867865161930847,1,0
-3.0,1.7278759594743862,13.770939606959095,2.0,6.885469803479547,1.5442818032379466,9.353786535189219,7.809504731951272,1,0
-3.0,1.754055898254301,13.627587598676662,2.0,6.813793799338331,1.5392816429311844,9.280216120918384,7.740934477987199,1,0
-3.0,1.780235837034216,13.474212014434915,2.0,6.737106007217458,1.533533240016559,9.195886134922503,7.662352894905944,1,0
-3.0,1.806415775814131,13.310917992910431,2.0,6.6554589964552155,1.527045719174865,9.101033134754168,7.573987415579303,1,0
-3.0,1.832595714594046,13.137817473941242,2.0,6.568908736970621,1.5198295035751448,8.995923234316145,7.476093730741,1,0
-3.0,1.8587756533739608,12.955029122025834,2.0,6.477514561012917,1.511896347724757,8.880851369361201,7.368955021636444,1,0
-3.0,1.8849555921538759,12.762678245250168,2.0,6.381339122625084,1.5032593754965051,8.756140482137031,7.252881106640526,1,0
-3.0,1.9111355309337907,12.560896709702572,2.0,6.280448354851286,1.493933123806832,8.622140626882977,7.128207503076146,1,0
-3.0,1.9373154697137056,12.349822849440457,2.0,6.174911424720229,1.4839335924879784,8.47922799797971,6.995294405491731,1,0
