sector_kx,sector_ky,kvec_x,kvec_y,eig_index,energy,sector_dimension,solver
0,0,0.0,0.0,0,-13.655216275915002,173613,sparse
0,0,0.0,0.0,1,-13.655208387761487,173613,sparse
0,0,0.0,0.0,2,-13.655172663542851,173613,sparse
0,0,0.0,0.0,3,-13.647247236881157,173613,sparse
0,0,0.0,0.0,4,-13.646198818892763,173613,sparse
0,0,0.0,0.0,5,-13.645727456463558,173613,sparse
0,0,0.0,0.0,6,-13.645534749388442,173613,sparse
0,0,0.0,0.0,7,-13.644999519830696,173613,sparse
0,0,0.0,0.0,8,-13.643487467508782,173613,sparse
0,0,0.0,0.0,9,-13.640579631577053,173613,sparse
0,1,0.0,1.3962634015954636,0,-13.646444572384087,173583,sparse
0,1,0.0,1.3962634015954636,1,-13.646090215538958,173583,sparse
0,1,0.0,1.3962634015954636,2,-13.645760734329851,173583,sparse
0,1,0.0,1.3962634015954636,3,-13.645127890462007,173583,sparse
0,1,0.0,1.3962634015954636,4,-13.644912847274842,173583,sparse
0,1,0.0,1.3962634015954636,5,-13.644111692367446,173583,sparse
0,1,0.0,1.3962634015954636,6,-13.64055770396322,173583,sparse
0,1,0.0,1.3962634015954636,7,-13.640161203752186,173583,sparse
0,1,0.0,1.3962634015954636,8,-13.639843329984803,173583,sparse
0,1,0.0,1.3962634015954636,9,-13.639606432128238,173583,sparse
0,2,0.0,2.792526803190927,0,-13.647181066003908,173583,sparse
0,2,0.0,2.792526803190927,1,-13.646957547266608,173583,sparse
0,2,0.0,2.792526803190927,2,-13.646601808633442,173583,sparse
0,2,0.0,2.792526803190927,3,-13.644969682121493,173583,sparse
0,2,0.0,2.792526803190927,4,-13.644715937872286,173583,sparse
0,2,0.0,2.792526803190927,5,-13.644601351324543,173583,sparse
0,2,0.0,2.792526803190927,6,-13.642627018658818,173583,sparse
0,2,0.0,2.792526803190927,7,-13.64214206796333,173583,sparse
0,2,0.0,2.792526803190927,8,-13.641499886301709,173583,sparse
0,2,0.0,2.792526803190927,9,-13.640029530940856,173583,sparse
0,3,0.0,4.1887902047863905,0,-13.648170750982464,173610,sparse
0,3,0.0,4.1887902047863905,1,-13.64724509564829,173610,sparse
0,3,0.0,4.1887902047863905,2,-13.646871153153876,173610,sparse
0,3,0.0,4.1887902047863905,3,-13.64640244818497,173610,sparse
0,3,0.0,4.1887902047863905,4,-13.645761197082695,173610,sparse
0,3,0.0,4.1887902047863905,5,-13.645598350285436,173610,sparse
0,3,0.0,4.1887902047863905,6,-13.645345051529405,173610,sparse
0,3,0.0,4.1887902047863905,7,-13.645304365229572,173610,sparse
0,3,0.0,4.1887902047863905,8,-13.644676326177738,173610,sparse
0,3,0.0,4.1887902047863905,9,-13.640244376240837,173610,sparse
0,4,0.0,5.585053606381854,0,-13.648193264396072,173583,sparse
0,4,0.0,5.585053606381854,1,-13.647564687637978,173583,sparse
0,4,0.0,5.585053606381854,2,-13.647519190886706,173583,sparse
0,4,0.0,5.585053606381854,3,-13.646002537481868,173583,sparse
0,4,0.0,5.585053606381854,4,-13.64472640950196,173583,sparse
0,4,0.0,5.585053606381854,5,-13.644312593561697,173583,sparse
0,4,0.0,5.585053606381854,6,-13.64419946500754,173583,sparse
0,4,0.0,5.585053606381854,7,-13.642689300969943,173583,sparse
0,4,0.0,5.585053606381854,8,-13.642185395629044,173583,sparse
0,4,0.0,5.585053606381854,9,-13.6402674598064,173583,sparse
0,5,0.0,6.981317007977318,0,-13.648193264396019,173583,sparse
0,5,0.0,6.981317007977318,1,-13.64756468763796,173583,sparse
0,5,0.0,6.981317007977318,2,-13.647519190886683,173583,sparse
0,5,0.0,6.981317007977318,3,-13.646002537481857,173583,sparse
0,5,0.0,6.981317007977318,4,-13.644726409501983,173583,sparse
0,5,0.0,6.981317007977318,5,-13.64431259356176,173583,sparse
0,5,0.0,6.981317007977318,6,-13.644199465007613,173583,sparse
0,5,0.0,6.981317007977318,7,-13.64268930096994,173583,sparse
0,5,0.0,6.981317007977318,8,-13.64218539562899,173583,sparse
0,5,0.0,6.981317007977318,9,-13.640267459806296,173583,sparse
0,6,0.0,8.377580409572781,0,-13.64817075098246,173610,sparse
0,6,0.0,8.377580409572781,1,-13.647245095648222,173610,sparse
0,6,0.0,8.377580409572781,2,-13.646871153153894,173610,sparse
0,6,0.0,8.377580409572781,3,-13.646402448184988,173610,sparse
0,6,0.0,8.377580409572781,4,-13.645761197082686,173610,sparse
0,6,0.0,8.377580409572781,5,-13.645598350285498,173610,sparse
0,6,0.0,8.377580409572781,6,-13.645345051529402,173610,sparse
0,6,0.0,8.377580409572781,7,-13.645304365229581,173610,sparse
0,6,0.0,8.377580409572781,8,-13.64467632617774,173610,sparse
0,6,0.0,8.377580409572781,9,-13.640244376240876,173610,sparse
0,7,0.0,9.773843811168245,0,-13.647181066003958,173583,sparse
0,7,0.0,9.773843811168245,1,-13.646957547266652,173583,sparse
0,7,0.0,9.773843811168245,2,-13.646601808633328,173583,sparse
0,7,0.0,9.773843811168245,3,-13.64496968212142,173583,sparse
0,7,0.0,9.773843811168245,4,-13.644715937872194,173583,sparse
0,7,0.0,9.773843811168245,5,-13.644601351324505,173583,sparse
0,7,0.0,9.773843811168245,6,-13.642627018658807,173583,sparse
0,7,0.0,9.773843811168245,7,-13.642142067963364,173583,sparse
0,7,0.0,9.773843811168245,8,-13.641499886301654,173583,sparse
0,7,0.0,9.773843811168245,9,-13.640029530940861,173583,sparse
0,8,0.0,11.170107212763709,0,-13.646444572384006,173583,sparse
0,8,0.0,11.170107212763709,1,-13.646090215538948,173583,sparse
0,8,0.0,11.170107212763709,2,-13.64576073432976,173583,sparse
0,8,0.0,11.170107212763709,3,-13.64512789046198,173583,sparse
0,8,0.0,11.170107212763709,4,-13.644912847274826,173583,sparse
0,8,0.0,11.170107212763709,5,-13.644111692367618,173583,sparse
0,8,0.0,11.170107212763709,6,-13.64055770396319,173583,sparse
0,8,0.0,11.170107212763709,7,-13.640161203752076,173583,sparse
0,8,0.0,11.170107212763709,8,-13.63984332998479,173583,sparse
0,8,0.0,11.170107212763709,9,-13.639606432128287,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,0,-13.647232689626351,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,1,-13.646604903366349,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,2,-13.64638161895914,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,3,-13.645229545560458,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,4,-13.64469701185954,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,5,-13.644430312331764,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,6,-13.64087760810586,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,7,-13.640607425766742,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,8,-13.64023747901266,173583,sparse
1,0,1.2091995761561452,2.0943951023931953,9,-13.639822809464933,173583,sparse
1,1,1.2091995761561452,3.490658503988659,0,-13.648199761252696,173583,sparse
1,1,1.2091995761561452,3.490658503988659,1,-13.647570877581204,173583,sparse
1,1,1.2091995761561452,3.490658503988659,2,-13.64753209537203,173583,sparse
1,1,1.2091995761561452,3.490658503988659,3,-13.645961887207324,173583,sparse
1,1,1.2091995761561452,3.490658503988659,4,-13.64465586876515,173583,sparse
1,1,1.2091995761561452,3.490658503988659,5,-13.644268615605789,173583,sparse
1,1,1.2091995761561452,3.490658503988659,6,-13.644180847923371,173583,sparse
1,1,1.2091995761561452,3.490658503988659,7,-13.64266158640081,173583,sparse
1,1,1.2091995761561452,3.490658503988659,8,-13.642142830837757,173583,sparse
1,1,1.2091995761561452,3.490658503988659,9,-13.640254687848927,173583,sparse
1,2,1.2091995761561454,4.886921905584122,0,-13.647178963058652,173583,sparse
1,2,1.2091995761561454,4.886921905584122,1,-13.646959410280388,173583,sparse
1,2,1.2091995761561454,4.886921905584122,2,-13.646568322849095,173583,sparse
1,2,1.2091995761561454,4.886921905584122,3,-13.645037127424708,173583,sparse
1,2,1.2091995761561454,4.886921905584122,4,-13.644772951301025,173583,sparse
1,2,1.2091995761561454,4.886921905584122,5,-13.644652833962175,173583,sparse
1,2,1.2091995761561454,4.886921905584122,6,-13.642719026479583,173583,sparse
1,2,1.2091995761561454,4.886921905584122,7,-13.642197668200401,173583,sparse
1,2,1.2091995761561454,4.886921905584122,8,-13.641600256005031,173583,sparse
